"","rent","size","lift","balcony","terrace","is_house","slope","highway","rail_stati","sun_eve","X","Y"
"2981",1300,78,0,0,0,0,0.01614,0,0.262,289.6,703524,243436
"2982",1500,81,0,0,0,0,0.01666,0,1.273,266.8,696048,233849
"2983",1710,100,0,0,0,0,0.017696,0,0.75,254.69,683137,264910
"2984",1825,106,0,0,0,0,0.13452,0,1.297,368.89,694702,261816
"2985",1831,72,0,0,0,0,0.095604,0,0.551,247.79,688078,234799
"2986",1872,109,0,0,0,0,0.027511,0,1.085,242.67,683445,253745
"2987",2250,105,0,0,0,0,0.032326,0,0.578,273.55,672867,249554
"2988",2190,84,0,0,0,0,0.123631,0,1.197,474.31,684285,248605
"2989",5500,133,0,0,0,0,0.108331,0,1.722,451.81,685490,247460
"2990",1320,74,0,0,0,0,0.027444,0,0.554,261.78,690462,263633
"2991",1368,79,0,0,0,0,0.038293,0,0.667,203.91,674769,249909
"2992",1490,90,0,0,0,0,0.080227,0,0.437,326.95,690575,263603
"2993",1750,115,1,0,0,0,0.073133,0,0.707,259.5,694200,227900
"2994",1929,100,0,1,0,0,0.066416,0,0.5,74.78,681948,240166
"2995",4970,165,0,1,0,0,0.029626,0,0.272,152.95,680965,246660
"2996",1322,80,0,0,0,0,0.023836,0,1.215,218.58,673714,249953
"2997",2850,160,0,1,0,0,0.013271,0,0.759,268.79,702938,242633
"2998",2950,167,0,1,0,0,0.014147,0,0.543,265.6,689407,255408
"2999",870,37,0,0,0,0,0.013232,0,1.64,203.39,685560,251215
"3000",1270,64,0,0,0,0,0.005247,0,1.085,242.2,686193,257065
"3001",1345,73,0,0,0,0,0.002804,0,1.462,220,685860,251085
"3002",1385,105,0,0,0,0,0.04157,0,3.085,204.75,698168,235894
"3003",1560,110,0,0,0,0,0.063647,0,2.005,235.37,696945,236502
"3004",1596,97,0,0,0,0,0.017777,0,0.635,272.96,679691,259720
"3005",3500,115,0,0,0,0,0.037473,0,0.365,273.24,691445,236471
"3006",4610,170,0,0,0,0,0.039427,0,0.57,324.9,683580,247675
"3007",1400,73,0,1,0,0,0.177155,0,0.508,506.15,712092,236926
"3008",1544,86,0,0,0,0,0.059875,0,0.905,120.13,676619,258779
"3009",1600,112,0,0,0,0,0.031275,0,1.942,274.16,677209,256274
"3010",1905,128,0,0,0,0,0.043503,0,0.782,139.68,676668,258892
"3011",1450,75,1,1,0,0,0.007858,0,0.677,263.75,701363,264562
"3012",1340,65,0,1,0,0,0.177155,0,0.508,506.15,712092,236926
"3013",1660,75,0,0,0,0,0.024225,0,0.261,328.63,697360,232982
"3014",1520,86,0,0,0,0,0.009586,0,0.627,269.22,693916,263042
"3015",1780,70,0,1,0,0,0.071593,0,0.793,361.57,690245,255361
"3016",1740,76,1,1,0,0,0.065627,0,2.037,366.58,673433,252966
"3017",1250,63,0,1,0,0,0.009549,0,1.444,263.92,680451,267724
"3018",2180,97,0,0,0,0,0.049452,0,0.318,219.66,696898,251382
"3019",1619,76,0,1,0,0,0.016739,0,0.983,224.83,686996,256782
"3020",1250,54,0,0,0,0,0.022843,0,0.148,183.6,693536,231833
"3021",1380,62,1,0,0,0,0.067405,0,0.477,257.3,681955,250030
"3022",1544,86,0,0,0,0,0.059875,0,0.905,120.13,676619,258779
"3023",1675,90,0,1,0,0,0.000902,0,0.831,247.8,689848,251300
"3024",1788,75,0,0,0,0,0.011132,0,1.331,226.9,687135,246170
"3025",1620,100,0,0,0,0,0.026831,0,0.175,238.91,676471,236563
"3026",1677,100,0,1,0,0,0.018682,0,0.561,260.43,686930,256184
"3027",1710,93,0,0,0,0,0.023043,0,0.92,196.86,671983,251078
"3028",1776,97,1,0,0,0,0.060368,0,2.164,265.81,673402,253105
"3029",1746,94,1,1,0,0,0.022347,0,0.683,287.42,692669,249277
"3030",1900,106,0,1,0,0,0.06333,0,1.205,162.58,712538,236044
"3031",1900,120,0,1,0,0,0.011922,0,0.26,266.56,677436,232991
"3032",2000,95,0,0,0,0,0.076223,0,0.735,382.99,694467,235467
"3033",2041,106,0,1,0,0,0.015183,0,0.505,264.4,678857,259570
"3034",1890,95,0,1,0,0,0.012163,0,1.067,241.5,688010,251655
"3035",2050,115,1,1,0,0,0.039432,0,0.479,154.23,682552,256024
"3036",2200,150,1,1,0,0,0.075268,0,1.155,111.49,712519,236101
"3037",2260,155,0,1,0,0,0.009139,0,0.228,209.31,680754,258523
"3038",2314,150,0,1,0,0,0.014949,0,0.275,214.62,681040,258435
"3039",2300,101,0,0,0,0,0.066175,0,0.507,384.27,697601,233075
"3040",2000,93,0,0,0,0,0.026882,0,1.152,291.65,686915,246075
"3041",2020,91,0,1,0,0,0.03611,0,1.793,318.64,673327,252741
"3042",1750,115,0,0,0,0,0.073133,0,0.707,259.5,694200,227900
"3043",704,61,0,0,0,0,0.014069,0,1.155,225.81,686996,262957
"3044",1289,71,0,0,0,0,0.03336,0,0.102,153.98,682463,256405
"3045",1685,60,0,0,0,0,0.01058,0,0.364,250.04,683385,252145
"3046",1685,60,0,0,0,0,0.01058,0,0.364,250.04,683385,252145
"3047",1850,128,0,0,0,0,0.025898,0,0.733,266.98,695293,267040
"3048",2000,129,0,0,0,0,0.017217,0,0.659,267.25,679735,259584
"3049",870,28,1,0,0,0,0.076055,0,0.652,145.85,683685,251175
"3050",1345,64,0,1,0,0,0.110086,0,0.068,39.16,682053,239351
"3051",3100,100,1,1,0,0,0.034173,0,0.517,309.45,683150,247585
"3052",2375,80,0,1,0,0,0.008316,0,0.958,266.65,683175,250090
"3053",1170,45,1,1,0,0,0.00217,0,0.865,220,686560,251255
"3054",1280,71,0,0,0,0,0.06489,0,0.451,384.09,677166,246297
"3055",1565,67,0,1,0,0,0.024873,0,1.133,204.82,682505,243449
"3056",1436,59,0,1,0,0,0.002067,0,1.077,213.8,686625,250990
"3057",1500,86,0,0,0,0,0.066087,0,0.869,108.1,676619,258819
"3058",2120,107,1,1,0,0,0.038507,0,0.952,200.85,689071,253752
"3059",1473,98,1,0,0,0,0.056496,0,1.65,316.9,677154,251569
"3060",2200,110,0,1,0,0,0.034488,0,1.37,240.17,676492,251613
"3061",2100,90,0,1,0,0,0.025681,0,0.835,235.19,697516,245024
"3062",2750,119,1,1,0,0,0.043787,0,1.54,332.46,678037,243886
"3063",5900,123,0,0,0,0,0.023494,0,0.334,296.45,683545,247015
"3064",1654,95,0,1,0,0,0.010261,0,0.949,256.04,686151,252425
"3065",3000,133,0,1,0,0,0.06937,0,0.323,124.71,688125,244832
"3066",1200,71,0,0,0,0,0.033115,0,0.549,145.17,683250,238428
"3067",1265,86,0,0,0,0,0.014199,0,0.514,262.96,678891,259611
"3068",1400,74,0,0,0,0,0.053378,0,0.667,330.18,707761,235309
"3069",1660,88,0,0,0,0,0.029099,0,1.549,253.26,685960,250770
"3070",1700,96,0,1,0,0,0.080958,0,0.798,279.24,706036,244129
"3071",1956,90,0,0,0,0,0.012801,0,0.764,214.07,692680,249398
"3072",2000,104,0,0,0,0,0.0241,0,0.752,215.05,692716,249331
"3073",2440,102,0,1,0,0,0.108018,0,1.805,268.29,685335,247895
"3074",4800,151,1,0,0,0,0.005164,0,0.736,220.64,683210,247240
"3075",1696,94,0,1,0,0,0.069183,0,2.2,406.91,675779,243533
"3076",1950,127,0,1,0,0,0.004249,0,0.679,244.17,676616,237201
"3077",2840,121,1,0,0,0,0.074695,0,2.429,107.23,689912,245961
"3078",4300,125,0,1,0,0,0.077999,0,0.209,390.23,685984,242608
"3079",2021,123,0,0,0,0,0.035843,0,0.777,158.97,682224,255774
"3080",2152,135,0,1,0,0,0.08963,0,0.711,34.9,680940,242138
